Standard,Material,Heat_Treatment,Ultimate_Strength_MPa,Yield_Strength_MPa,Elongation_pct,Hardness_Bhn,Elastic_Modulus_MPa,Shear_Modulus_MPa,Poisson_Ratio,Density_kg_m3
ANSI,Steel SAE 1015,as-rolled,421.0,314.0,39.0,126.0,207000,79000,0.3,7860
ANSI,Steel SAE 1015,normalized,424.0,324.0,37.0,121.0,207000,79000,0.3,7860
ANSI,Steel SAE 1015,annealed,386.0,284.0,37.0,111.0,207000,79000,0.3,7860
ANSI,Steel SAE 1020,as-rolled,448.0,331.0,36.0,143.0,207000,79000,0.3,7860
ANSI,Steel SAE 1020,normalized,441.0,346.0,35.8,131.0,207000,79000,0.3,7860
ANSI,Steel SAE 1020,annealed,395.0,295.0,36.5,111.0,207000,79000,0.3,7860
ANSI,Steel SAE 1022,as-rolled,503.0,359.0,35.0,149.0,207000,79000,0.3,7860
ANSI,Steel SAE 1022,normalized,483.0,359.0,34.0,143.0,207000,79000,0.3,7860
ANSI,Steel SAE 1022,annealed,450.0,317.0,35.0,137.0,207000,79000,0.3,7860
ANSI,Steel SAE 1030,as-rolled,552.0,345.0,32.0,179.0,207000,79000,0.3,7860
ANSI,Steel SAE 1030,normalized,517.0,345.0,32.0,149.0,207000,79000,0.3,7860
ANSI,Steel SAE 1030,annealed,464.0,341.0,31.0,126.0,207000,79000,0.3,7860
ANSI,Steel SAE 1030,tempered at 400 F,848.0,648.0,17.0,495.0,207000,79000,0.3,7860
ANSI,Steel SAE 1040,as-rolled,621.0,414.0,25.0,201.0,207000,79000,0.3,7860
ANSI,Steel SAE 1040,normalized,590.0,374.0,28.0,170.0,207000,79000,0.3,7860
ANSI,Steel SAE 1040,annealed,519.0,353.0,30.0,149.0,207000,79000,0.3,7860
ANSI,Steel SAE 1040,tempered at 400 F,779.0,593.0,19.0,262.0,207000,79000,0.3,7860
ANSI,Steel SAE 1050,as-rolled,724.0,414.0,20.0,229.0,207000,79000,0.3,7860
ANSI,Steel SAE 1050,normalized,748.0,427.0,20.0,217.0,207000,79000,0.3,7860
ANSI,Steel SAE 1050,annealed,636.0,365.0,23.7,187.0,207000,79000,0.3,7860
ANSI,Steel SAE 1050,tempered at 600 F,979.0,724.0,14.0,321.0,207000,79000,0.3,7860
ANSI,Steel SAE 1060,as-rolled,814.0,483.0,17.0,241.0,207000,79000,0.3,7860
ANSI,Steel SAE 1060,normalized,776.0,421.0,18.0,229.0,207000,79000,0.3,7860
